ID	TCGA_BC_A10Q_LIHC_NT	TCGA_BC_A10T_LIHC_NT	TCGA_BC_A10W_LIHC_NT	TCGA_2V_A95S_LIHC_TP	TCGA_2Y_A9GS_LIHC_TP	TCGA_2Y_A9GU_LIHC_TP	TCGA_A7_A0CE_BRCA_NT	TCGA_A7_A0CH_BRCA_NT	TCGA_A7_A0D9_BRCA_NT	TCGA_3C_AAAU_BRCA_TP	TCGA_3C_AALJ_BRCA_TP	TCGA_3C_AALK_BRCA_TP
ENSG00000126214	690.46	529.81	860.62	553	1780	511	1999.7683	1916.2313	2367.5255	1505.8144	696.2829	858.916
ENSG00000174996	218	158	301	14	9	4	595.5556	511.1425	256.6191	7.5825	19.9456	95.1593
ENSG00000104892	5	5.02	8	1995	4148	5283	224.127	134.2736	3.5642	2594.9363	798.7307	1892.0149
ENSG00000137171	3398.31	1783	3707	27	383	64	656.9111	615.3681	452.2251	199.2128	73.4361	242.0356
ENSG00000155090	6109	1964	6717	324.01	367.47	258.47	1680.6349	1824.9177	2598.2688	320.6499	295.612	270.8564
ENSG00000172059	3561	2546	1747	314.18	368.36	314.23	619.0476	844.7579	1651.7312	314.7355	189.6736	224.0174
ENSG00000118922	1022	1188	1043	482	926	403	376.5079	268.5472	395.112	643.8227	279.2384	528.3409
ENSG00000169926	422	213	455	686	664	341	2252.6984	2422.567	4407.332	608.3228	473.2548	447.2487
ENSG00000266265	0	0	1	421	732	734	2.5397	17.6775	29.0224	870.9528	349.0481	1300.3724
ENSG00000163884	3493	2051	1244	2	2	1	454.6032	484.4382	1126.2729	5.5145	2.7199	1.2412
ENSG00000129911	1026	1308	1844	30	121	5	539.0476	441.1848	95.2138	76.5143	167.7244	193.2147
ENSG00000171872	0	0	0	508	735	550	7.619	3.0089	0	1231.8106	879.4198	767.8941
ENSG00000105610	0	3	0	89	503	145	0.9524	0.3761	1.5275	234.368	173.1641	148.1175
ENSG00000127528	333	155	615	89	342	86	1044.7619	2594.4523	3159.3686	326.7366	480.5077	335.9537
ENSG00000109787	1477.99	1376.96	2035.92	110	52	15	963.7333	1232.8876	1898.167	22.4028	437.8966	27.7203
ENSG00000136826	408	364	1373	123	325	94	1343.4921	3500.141	7558.0448	30.6746	28.1052	122.8796
ENSG00000102554	301	99	607	2321	3973	396	962.8571	474.6591	186.3544	1443.7758	1548.5041	1665.2875
ENSG00000067082	4375	2281	8539	17	81	26	4334.2857	8030.4654	13338.0855	21.7135	22.6655	62.4741
ENSG00000118263	56	22	36	1949	2628	1473	83.4921	53.0324	214.3585	3207.7397	1987.3073	3005.7923
ENSG00000102349	43	6	32	23	10.86	8	303.1746	389.6568	697.556	17.3122	52.33	25.5151
ENSG00000119138	9099	2499	6227	2474	9214	1985	3310.4762	2910.0141	4996.945	1957.3175	1701.7226	1581.2991
ENSG00000128607	484	450	414	759	1828	1797	467.619	545.3691	1203.666	805.4677	379.8731	555.2338
ENSG00000197776	28	45	45	0	2	6	119.3651	80.8651	136.4562	385.3286	10.8794	69.5077
ENSG00000165516	1847	1340	2150	415	403	283	1261.5873	1157.3108	1344.1955	601.7743	672.7108	635.4986
ENSG00000124702	1923	1915	2892	1453	2807	1627	2092.6984	2273.6248	2187.3727	1807.0462	1610.1541	1818.7836
